,region,room_availability_bs,price,rating,transaction_count,tipe_kos,room_area,is_discount,region_group,Parkir_Motor,Lemari_Baju,WiFi,Bantal,Dapur,AC,K_Mandi_Dalam,Shower,Kloset_Duduk,Meja,Jendela,R_Jemur,TV,Kulkas,Penjaga_Kos,Kursi,R_Tamu,Parkir_Mobil,Parkir_Sepeda,Cermin,Ventilasi,CCTV,Parkir_Motor_&_Sepeda,Guling,Ember_mandi,K_Mandi_Luar,Jemuran,Dispenser,Wastafel,Air_panas,R_Makan,R_Cuci,R_Santai,Kloset_Jongkok,Termasuk_listrik
670,Jakarta Timur,1.0,2100000,4.5,159.0,Kos Campur,21.0,0,Jakarta,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
671,Bogor,0.0,900000,4.1,6.0,Kos Putri,6.25,0,Bogor,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
672,Jakarta Timur,0.0,1100000,0.0,2.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
673,Bekasi,1.0,750000,0.0,0.0,Kos Putra,12.0,0,Bekasi,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
674,Jakarta Barat,1.0,900000,0.0,0.0,Kos Campur,9.0,0,Jakarta,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
675,Tangerang Selatan,2.0,1004999,0.0,1.0,Kos Campur,12.0,0,Tangerang,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
676,Tangerang Selatan,1.0,1200000,0.0,0.0,Kos Campur,12.0,0,Tangerang,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1
677,Jakarta Utara,2.0,3001500,0.0,3.0,Kos Campur,16.0,0,Jakarta,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1
678,Jakarta Timur,3.0,1300000,5.0,2.0,Kos Putri,12.0,1,Jakarta,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
679,Bogor,0.0,1800000,0.0,2.0,Kos Campur,12.0,0,Bogor,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
680,Jakarta Selatan,0.0,1000000,0.0,0.0,Kos Campur,12.0,0,Jakarta,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
681,Bekasi,0.0,1300000,0.0,0.0,Kos Putra,21.6,0,Bekasi,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
682,Bekasi,0.0,1300000,0.0,0.0,Kos Putra,21.6,0,Bekasi,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
